source_id,source_uri,source_version,source_digest,observed_at,authority,source_status
svcv4-model-summary,https://github.com/clingen-data-model/svcv4-model/blob/f77eb5c3d3991fd2ed41117b924df1a829e52757/docs/assets/images/summary-table.png,f77eb5c3d3991fd2ed41117b924df1a829e52757,sha256:c6c20d68862bac8105951b48defb7d892beab1f44c574c932fa926a8094900d9,2026-07-13T00:00:00Z,ClinGen SVCv4 data-model project,public_draft
svcv4-model-points-bands,https://github.com/clingen-data-model/svcv4-model/blob/f77eb5c3d3991fd2ed41117b924df1a829e52757/docs/assets/images/points-bands.png,f77eb5c3d3991fd2ed41117b924df1a829e52757,sha256:5ba7268a93bce4bed4e9dd85930de70ad189ce9bcfb4b552663265fbdbd97658,2026-07-13T00:00:00Z,ClinGen SVCv4 data-model project,public_draft
svcv4-model-hod-workflows,https://github.com/clingen-data-model/svcv4-model/blob/f77eb5c3d3991fd2ed41117b924df1a829e52757/docs/assets/images/hod-workflows.png,f77eb5c3d3991fd2ed41117b924df1a829e52757,sha256:6f648f133ddfa6372458466cf3c4ce6c62e04ab66c8dac5faa9196d15c26508a,2026-07-13T00:00:00Z,ClinGen SVCv4 data-model project,public_draft
svcv4-model-pfd-workflows,https://github.com/clingen-data-model/svcv4-model/blob/f77eb5c3d3991fd2ed41117b924df1a829e52757/docs/assets/images/variant-impact-workflows.png,f77eb5c3d3991fd2ed41117b924df1a829e52757,sha256:eeea62de44d07defeebaeaff8950d66142f31b032bc33bcd5f08ecfeb0365550,2026-07-13T00:00:00Z,ClinGen SVCv4 data-model project,public_draft
workbench-population-bound-policy,file:data/svcv4_population_bound_policy.csv,0.1.0,sha256:c67494a1937f2e021597895bc2f347564f1d2efee1285a7935f799fe2c5b6329,2026-07-13T00:00:00Z,pi-bio-workbench application policy,provisional
svcv4-model-case-applicability,https://github.com/clingen-data-model/svcv4-model/blob/f77eb5c3d3991fd2ed41117b924df1a829e52757/schemas/applicability/case_applicability.yaml,f77eb5c3d3991fd2ed41117b924df1a829e52757,sha256:55d543e6ecdb992bcccec36d8b9416e3d24e31862dea4cd299e8628169e37140,2026-07-14T00:00:00Z,ClinGen SVCv4 data-model project,public_draft
svcv4-model-case-schema,https://github.com/clingen-data-model/svcv4-model/blob/f77eb5c3d3991fd2ed41117b924df1a829e52757/src/svcv4_model/case.py,f77eb5c3d3991fd2ed41117b924df1a829e52757,sha256:0f3ec7ee2eb4ffb10e19562fb1c2cb147b0cda7f282b4fe37cf9feb85312dc40,2026-07-14T00:00:00Z,ClinGen SVCv4 data-model project,public_draft
